client_id,signup_date,age_band,gender,sector,employer_size,role_level,language,region,primary_theme,secondary_theme,idiosyncratic_needs,desired_coach_characteristics,wsp_directive_exploratory,wsp_structured_flexible,wsp_challenging_supportive,pers_open,pers_consc,pers_extra,pers_agree,pers_neuro,urgency,intake_narrative
K00011,2023-02-21,35-44,F,zorg,large,manager,nl,Noord-Brabant,balans werk/prive,leiderschap,alignment|time-management|delegation,style:same-sector|style:supportive,0.4689,0.633,0.2291,0.23,0.2205,0.4904,0.4546,0.3621,med,Als manager in de zorg voel ik me verscheurd tussen mijn team en mijn thuissituatie. Ik wil duidelijkheid over wat mijn prioriteiten zijn en leren beter te delegeren zodat ik meer ademruimte krijg.
K00012,2023-01-25,25-34,F,transport_logistics,medium,manager,nl,Zuid-Holland,communicatie,,difficult-conversations|listening|feedback-skills,style:directive|want:communication,0.2001,0.507,0.345,0.4564,0.4975,0.4277,0.5668,0.4635,low,"Ik merk dat ik gesprekken uit de weg ga en niet goed luister naar mijn team. Nu ik jonge manager ben, wil ik dit patroon doorbreken en effectiever communiceren."
K00013,2023-09-05,25-34,M,professional_services,large,employee,nl,Noord-Holland,zelfonderzoek,stress,perfectionism|value-alignment,want:self_insight|style:experienced|want:stress_resilience,0.6583,0.1496,0.2587,0.1719,0.8448,0.2984,0.5226,0.3176,low,Ik ben kritisch voor mezelf en voelen mijn waarden niet meer aansluiten bij wat ik doe. Ik wil inzicht krijgen waar dit vandaan komt en wat me echt drijft.
K00014,2023-09-08,45-54,M,zorg,large,employee,nl|en,Noord-Holland,loopbaan,,identity-clarity|transition-planning|career-switch,want:career_dev,0.6338,0.912,0.8011,0.4353,0.8747,0.6532,0.7228,0.3637,med,Na jaren in de zorg voel ik me vastgelopen en weet ik niet meer wie ik ben buiten mijn baan. Ik wil verheldering over een mogelijke carrièreswitch voordat ik verder in de verkeerde richting ga.
K00015,2023-02-25,35-44,F,zorg,large,manager,nl,Noord-Holland,balans werk/prive,persoonlijk leiderschap,self-direction|energy-management|recovery-routines|role-conflict,want:leadership_dev|style:challenging,0.3,0.3363,0.6454,0.0504,0.15,0.6521,0.8803,0.7141,med,"Ik ben uitgeput van de rollen die ik speel als manager in de zorg en thuis, en mijn energie raakt op. Ik wil ontdekken hoe ik bewuster keuzes kan maken en beter voor mezelf kan zorgen."
K00016,2023-01-02,35-44,M,professional_services,large,manager,nl,Gelderland,leiderschap,zelfonderzoek,emotion-awareness|identity-clarity,style:challenging|want:self_insight,0.4705,0.4527,0.9796,0.6275,0.3165,0.517,0.6277,0.2047,low,"Ik voel dat ik als manager een bepaald masker draag, maar ik ken mezelf steeds minder. Ik wil beter begrijpen wat mijn emoties me zeggen en wie ik echt ben in mijn leiderschap."
K00017,2023-08-25,55-64,M,tech,large,director,nl,Zuid-Holland,zelfonderzoek,stress,workload-negotiation|emotion-awareness,want:self_insight|style:experienced|style:flexible,0.3721,0.7182,0.2094,0.5809,0.5426,0.2769,0.643,0.0519,high,"De stress overheerst en ik realiseer me dat ik mijn gevoelens niet goed kan hanteren en veel accepteer wat ik eigenlijk niet wil. Als directeur moet ik nu echt iets veranderen, anders loop ik vast."
K00018,2023-10-09,35-44,F,public,large,employee,nl,Gelderland,balans werk/prive,loopbaan,boundary-setting|energy-management|transition-planning,style:supportive|want:stress_resilience,0.832,0.3605,0.6972,0.8127,0.7938,0.0849,0.554,0.4269,high,"Ik sta op een keerpunt: mijn baan vraagt alles, mijn privéleven lijdt eronder en ik voel me leeg. Ik moet nu duidelijk grenzen stellen en nadenken over wat ik echt wil, voordat ik volledig uitbrand."
K00019,2023-05-12,45-54,M,insurance_finance,large,employee,nl,Noord-Holland,samenwerken,loslaten,alignment|acceptance|rumination-reduction|conflict-handling,want:emotion_reg,0.5949,0.4918,0.5467,0.4278,0.5214,0.5698,0.6737,0.5565,med,"Ik zit vast in conflicten met collega's en kan niet loslaten wat voorbij is. Ik wil leren accepteren en beter samenwerken, zodat ik niet meer zo wordt opgeslokt door wat niet werkt."
K00020,2023-10-03,35-44,F,insurance_finance,small,employee,nl,Noord-Holland,communicatie,persoonlijk leiderschap,ownership-taking|decision-making|self-direction,want:self_insight|want:leadership_dev,0.6572,0.1747,0.8433,0.5524,0.2391,0.7003,0.4992,0.2161,high,"Ik merk dat ik niet voor mijn mening uitkom en anderen de besluiten neem, terwijl ik beter weet. Nu wil ik eigenaarschap terugwinnen en zelf bepalen waar ik heen ga."
K00021,2023-05-08,45-54,F,zorg,large,manager,nl|en,Noord-Brabant,loopbaan,zelfvertrouwen,limiting-beliefs|speaking-up|imposter-feelings|career-switch,style:flexible|want:self_insight|style:supportive,0.7524,0.6157,0.9219,0.5033,0.6157,0.7661,0.4534,0.3593,med,"Ik ben manager in de zorg, maar twijfel voortdurend aan mezelf en mijn keuzes. Ik wil voorbij mijn imposter-gevoelens en overwegen of dit nog mijn pad is of dat ik iets anders wil."
K00022,2023-01-16,55-64,F,transport_logistics,large,employee,nl,Flevoland,emotieregulatie,,rumination-reduction|trigger-management|calming-techniques,want:stress_resilience|want:emotion_reg,0.678,0.7441,0.1929,0.7618,0.5467,0.5653,0.8436,0.0765,med,"Ik piekeren voortdurend en mijn emoties sturen mijn dag. Nu ik ouder word, wil ik eindelijk leren hoe ik rustiger kan worden en niet alles zo zwaar hoef op te nemen."
K00023,2023-06-01,35-44,F,professional_services,small,employee,nl,Limburg,loopbaan,,direction-clarity|transition-planning|career-switch,want:career_dev|style:flexible,0.2696,0.805,0.2273,0.9253,0.6992,0.7069,0.5359,0.7371,low,Ik weet niet waar ik heen wil in mijn professionele leven en het voelt onduidelijk. Ik zoek coaching om te verkennen of ik moet blijven of een heel ander pad insla.
K00024,2023-09-23,35-44,M,transport_logistics,large,manager,nl,Zuid-Holland,zelfvertrouwen,stress,visibility|limiting-beliefs|saying-no,want:assertiveness|want:self_insight,0.1351,0.5764,0.8117,0.6336,0.6114,0.0575,0.3756,0.608,low,"Ik ben manager maar voel me klein en onzichtbaar in mijn rol, en ik zeg ja op dingen die ik niet wil. Ik wil meer zelfvertrouwen opbouwen en mijn grenzen durven stellen."
K00025,2023-11-21,25-34,F,professional_services,large,employee,nl,Zuid-Holland,stress,zelfonderzoek,reflection-habits|imposter-feelings,want:self_insight|want:confidence,0.9024,0.927,0.6459,0.4494,0.6097,0.7899,0.1422,0.5853,low,Ik voel veel stress en realiseer me dat ik mezelf slecht ken en geneigd ben mijn capaciteiten te onderschatten. Ik wil beter begrijpen waar mijn onzekerheid vandaan komt.
K00026,2023-11-19,25-34,F,insurance_finance,small,manager,nl|en,Utrecht,stress,loopbaan,workload-negotiation|identity-clarity,want:stress_resilience|style:same-sector,0.6824,0.5732,0.6821,0.674,0.0647,0.6696,0.2728,0.4032,low,Ik ben jong manager en merk dat ik alles op mijn bordje krijg en eigenlijk niet weet wie ik ben in deze rol. Ik wil duidelijker worden over wat ik echt kan en wil dragen.
K00027,2023-10-18,25-34,M,professional_services,medium,employee,nl,Groningen,emotieregulatie,stress,emotion-awareness|recovery-routines|rumination-reduction|workload-negotiation,want:stress_resilience|style:supportive,0.8684,0.5892,0.8039,0.4786,0.4983,0.301,0.1175,0.3955,med,"Ik merk dat de stress in mijn consultancy-rol mijn emoties steeds meer overneemt, waardoor ik 's avonds nog uren zit na te kauwen over werk. Ik wil beter begrijpen wat er speelt en leren hoe ik sneller kan herstellen, zonder elke deadline als een crisis te ervaren."
K00028,2023-12-27,55-64,F,zorg,large,employee,nl|en,Zuid-Holland,stress,,saying-no|workload-negotiation,want:assertiveness|style:supportive,0.5857,0.4678,0.2753,0.8711,0.6982,0.5769,0.402,0.6535,low,"Na ruim 30 jaar in de zorg voel ik dat mijn grenzen steeds vager worden en ik eigenlijk niet meer 'nee' durf te zeggen, wat mijn welzijn ondergraaft. Ik wil leren hoe ik mijn werkload beter kan sturen zonder schuldgevoel."
K00029,2023-09-22,25-34,F,public,large,employee,nl,Noord-Holland,communicatie,,nonviolent-communication|feedback-skills,want:communication,0.114,0.6537,0.427,0.6303,0.5982,0.3062,0.649,0.1824,low,In mijn publieke functie merk ik dat mijn directe communicatiestijl regelmatig misverstanden creëert en relaties belast. Ik wil leren hoe ik scherp kan blijven maar tegelijk voelbaar en constructief met collega's omga.
K00030,2023-02-18,35-44,F,insurance_finance,large,manager,nl,Noord-Brabant,stress,zelfvertrouwen,self-worth|calming-techniques|recovery-routines,style:same-sector|want:emotion_reg|style:supportive,0.306,0.8736,0.7256,0.4688,0.4752,0.6818,0.0282,0.6416,med,"Als manager voel ik dat stress en zelftwijs mijn leiderschap ondermijnen; ik ben voortdurend gespannen en kom niet tot rust, wat mijn beslissingen beïnvloedt. Ik zoek concrete tools om weer rustiger en stabieler te worden."
K00031,2023-12-08,35-44,M,tech,large,employee,nl,Overijssel,zelfvertrouwen,,imposter-feelings|self-worth|speaking-up|limiting-beliefs,want:self_insight|want:assertiveness,0.0669,0.5854,0.8376,0.356,0.1549,0.4961,0.7597,0.3679,high,"Ondanks mijn technische expertise blijf ik mezelf als onvoldoende zien en durf ik mijn stem niet echt uit te steken, wat mijn carrière remt. Ik wil nu echt doorbreken en geloven in wat ik kan."
K00032,2023-06-16,25-34,M,transport_logistics,large,employee,nl,Noord-Holland,loopbaan,persoonlijk leiderschap,transition-planning|career-switch,style:supportive|style:directive,0.4929,0.5393,0.2121,0.79,0.8256,0.2379,0.7506,0.5869,med,"Na jaren in logistiek voel ik dat ik een ander pad wil inslaan, maar ik weet niet goed hoe ik dat kan realiseren en wat eigenlijk mijn volgende stap zou moeten zijn. Ik wil duidelijkheid krijgen over mijn richting."
K00033,2023-01-22,35-44,M,transport_logistics,large,employee,nl,Zuid-Holland,zelfonderzoek,balans werk/prive,energy-management|limiting-beliefs,style:experienced|style:structured,0.656,0.6498,0.4245,0.3454,0.5779,0.1384,0.4322,0.3109,med,"Mijn werk in transport vraagt veel energie, maar ik merk dat ik mijn eigen grenzen niet goed ken en alles maar uit mezelf blijf putten. Ik wil beter begrijpen wat me echt drijft en hoe ik beter kan balanceren."
K00034,2023-06-25,35-44,F,public,small,employee,nl,Limburg,loopbaan,stress,direction-clarity|saying-no|calming-techniques,want:career_dev|style:challenging,0.2765,0.5115,0.148,0.5569,0.4074,0.5482,0.9652,0.3824,med,In mijn publieke rol ben ik overbelast en weet eigenlijk niet meer wat ik wil; stress en onduidelijkheid over mijn toekomst gaan hand in hand. Ik wil helderheid krijgen en leren grenzen te stellen.
K00035,2023-11-26,35-44,F,insurance_finance,medium,employee,nl|en,Zuid-Holland,stress,zelfonderzoek,value-alignment|perfectionism|pattern-awareness|boundary-setting,want:assertiveness|style:supportive|style:same-sector,0.612,0.5967,0.7014,0.514,0.7447,0.6449,0.6577,0.4443,low,"Ik merk dat mijn perfectionism en streven naar alles goed te doen veel stress veroorzaakt, en ik blijf steken in dezelfde patronen van zelf-kritiek. Ik wil inzicht krijgen in wat me drijft en hoe ik meer aligned kan leven."
K00036,2023-04-21,35-44,M,public,medium,manager,nl,Flevoland,balans werk/prive,persoonlijk leiderschap,energy-management|self-direction,want:balance|style:directive|want:leadership_dev,0.6787,0.458,0.6965,0.1236,0.4437,0.7424,0.2491,0.7196,low,Als manager in de publieke sector voel ik dat ik mijn eigen energie en prioriteiten uit het oog ben verloren door altijd voor anderen beschikbaar te zijn. Ik wil leren beter voor mezelf in te staan en meer gericht te leiden.
K00037,2023-01-20,35-44,F,transport_logistics,small,manager,nl,Noord-Holland,persoonlijk leiderschap,balans werk/prive,energy-management|self-direction|decision-making,want:balance|want:self_insight,0.6153,0.1031,0.9369,0.6808,0.5226,0.4389,0.856,0.4154,med,Ik sta als manager voor de uitdaging om mijn team goed te leiden terwijl ik zelf ook mijn leven in balans wil houden; ik voel dat ik mijn eigen richting kwijt ben. Ik wil leren van binnenuit te leiden en betere keuzes te maken.
K00038,2023-04-14,55-64,M,insurance_finance,medium,employee,nl,Noord-Holland,emotieregulatie,loopbaan,identity-clarity|direction-clarity,want:career_dev|want:self_insight,0.3651,0.5554,0.8217,0.2458,0.2437,0.1594,0.6977,0.2611,high,Op dit punt in mijn leven merk ik dat emoties mijn loopbaanvragen volledig blokkeren en ik niet weet wie ik eigenlijk ben of wat ik nog wil. Dit gaat niet langer goed en ik heb nu echt hulp nodig om vooruit te gaan.
K00039,2023-05-20,55-64,M,insurance_finance,medium,employee,nl,Utrecht,zelfvertrouwen,zelfonderzoek,speaking-up|emotion-awareness|imposter-feelings,want:assertiveness|style:same-sector,0.7307,0.5353,0.3689,0.6263,0.6827,0.4335,0.8544,0.6403,high,"Ik twijfel voortdurend aan mezelf en durf mijn mening niet uit te spreken, ook al heb ik veel ervaring; bovendien kan ik mijn emoties niet goed reguleren. Nu wil ik echt doorbreken en mijn stem terug krijgen."
K00040,2023-09-16,55-64,M,insurance_finance,large,employee,nl,Limburg,loopbaan,,identity-clarity|career-switch|direction-clarity|transition-planning,want:self_insight|want:career_dev,0.5366,0.8685,0.5104,0.4835,0.7612,0.3733,0.6162,0.4361,high,"Na decennia in dezelfde sector voel ik dat ik iets anders wil, maar ik ben onzeker wie ik ben zonder mijn huidige rol en hoe ik een switch kan maken. Dit dringt nu aan en ik wil echt een nieuw pad verkennen."
K00041,2023-03-05,55-64,F,transport_logistics,large,employee,nl,Utrecht,stress,,workload-negotiation|recovery-routines|calming-techniques,want:stress_resilience|style:structured,0.9336,0.1664,0.508,0.3223,0.4393,0.2062,0.827,0.2712,low,"Ik merk dat de stress in mijn transport-functie langzaam aan mijn gezondheid tart, en ik wil leren beter met mijn werkdruk om te gaan en meer rust in te bouwen."
K00042,2023-03-11,45-54,M,public,medium,employee,nl|en|other,Zuid-Holland,stress,balans werk/prive,role-conflict|energy-management|time-management,style:same-sector|want:balance,0.8223,0.384,0.5786,0.6467,0.4733,0.5995,0.5586,0.6035,med,"Ik ben voortdurend verscheurd tussen mijn rollen thuis en op werk, wat leidt tot chronische stress en vermoeidheid; ik weet niet meer hoe ik alles in balans hou. Ik wil leren mijn tijd en energie beter in te delen."
K00043,2023-04-13,25-34,F,insurance_finance,small,employee,nl|en,Noord-Holland,stress,zelfonderzoek,workload-negotiation|value-alignment,want:stress_resilience|style:structured,0.1478,0.5529,0.2517,0.3798,0.8272,0.6038,0.5986,0.7036,low,"De stress op mijn huidige plek groeit omdat ik eigenlijk niet meer geloof in wat ik doe, maar ik weet niet goed wat wél voor mij staat. Ik wil helderheid krijgen over mijn waarden en wat ik echt wil."
K00044,2023-07-15,55-64,F,insurance_finance,small,employee,nl|en,Overijssel,loopbaan,persoonlijk leiderschap,energy-management|transition-planning|direction-clarity,want:career_dev|style:supportive|want:balance,0.3923,0.7195,0.7649,0.223,0.7073,0.5647,0.2036,0.2908,high,"Nu ik tegen de pensioenleeftijd aanloop voel ik dat ik mijn carrière en leven nog wil heroriënteren, maar ik weet niet goed hoe ik dit kan realiseren en waar mijn energie nog ligt. Dit is nu urgent voor mij."
K00045,2023-10-17,55-64,M,public,medium,manager,nl|en,Overijssel,zelfvertrouwen,balans werk/prive,energy-management|role-conflict,style:same-sector|want:stress_resilience,0.6322,0.542,0.4268,0.7491,0.7116,0.6433,0.7037,0.7257,low,Als manager voel ik spanning tussen mijn leideringsrol en mijn behoefte aan eigen ruimte; ik wil beter weten hoe ik beide kan hanteren zonder mezelf uit te putten.
K00046,2023-12-18,25-34,M,zorg,large,employee,nl,Zuid-Holland,persoonlijk leiderschap,balans werk/prive,self-direction|ownership-taking|value-alignment,style:same-sector|want:self_insight,0.591,0.4504,0.4894,0.3517,0.6798,0.7823,0.2976,0.6305,low,"In de zorg wil ik meer eigen regie krijgen en voelen dat mijn keuzes echt van mij zijn, niet gewoon uit gewoonte of verwachting. Ik wil leren wat ik echt waardeer en daarvan de leiding nemen."
K00047,2023-03-08,35-44,M,transport_logistics,large,employee,nl,Noord-Holland,persoonlijk leiderschap,leiderschap,decision-making|value-alignment|ownership-taking|first-time-manager,want:self_insight|style:supportive|style:experienced,0.6294,0.1051,0.3145,0.2888,0.3735,0.6263,0.4615,0.5414,low,"Ik sta op het punt om mijn eerste leidinggevende rol aan te nemen en wil zeker weten dat ik dit goed aanpak – niet alleen besluiten nemen waar ik achter sta, maar ook echt eigenaarschap tonen van wat ik ga doen."
K00048,2023-04-23,55-64,M,zorg,large,manager,nl,Zuid-Holland,zelfonderzoek,balans werk/prive,emotion-awareness|recovery-routines|limiting-beliefs,want:stress_resilience|want:emotion_reg,0.8219,0.6687,0.7055,0.4531,0.0259,0.255,0.4631,0.9868,med,Na jaren in de zorg merk ik dat ik mijn batterij niet meer oplade; ik wil beter begrijpen wat me emotioneel uitput en hoe ik echt kan herstellen zonder mijn waarden op te geven.
K00049,2023-08-09,35-44,F,insurance_finance,large,employee,nl,Limburg,persoonlijk leiderschap,stress,energy-management|calming-techniques,want:emotion_reg|style:flexible|want:balance,0.2173,0.3041,0.5183,0.375,0.9183,0.3107,0.908,0.6967,med,De druk in mijn financiële rol groeit en ik voel dat mijn energie opgebruikt raakt – ik wil concreet leren hoe ik mijn stress beter manage en rustig blijf onder druk.
K00050,2023-10-22,35-44,F,professional_services,large,employee,nl|other,Noord-Brabant,persoonlijk leiderschap,,energy-management|decision-making|ownership-taking,style:directive|want:balance|want:leadership_dev,0.6208,0.6247,0.165,0.0832,0.314,0.4281,0.1743,0.4993,med,Ik merk dat ik veel energie verspil aan onbesliste momenten en te weinig eigenverantwoordelijkheid neem – ik wil duidelijker worden in wat ik wil en waar ik voor sta.
K00051,2023-08-27,25-34,M,public,large,employee,nl,Noord-Holland,stress,zelfonderzoek,workload-negotiation|boundary-setting|reflection-habits|identity-clarity,want:stress_resilience|style:experienced,0.2032,0.5395,0.6391,0.7823,0.6509,0.3907,0.8754,0.5871,med,Mijn werkbelasting loopt uit de hand en ik voel dat ik mijn grenzen niet goed kan stellen – ik wil leren wie ik eigenlijk ben naast mijn werk en wat ik echt kan weigeren.
K00052,2023-11-07,25-34,M,professional_services,large,manager,nl|en,Gelderland,balans werk/prive,,role-conflict|energy-management,want:stress_resilience|want:balance|style:structured,0.4714,0.5432,0.0896,0.4258,0.1039,0.8013,0.4392,0.5041,med,"Als jonge manager zit ik in een spagaat tussen mijn rol en mijn privéleven, en mijn energie raakt op – ik wil helder krijgen hoe ik beide kan voeden zonder uit elkaar te groeien."
K00053,2023-10-07,45-54,M,insurance_finance,large,employee,nl,Noord-Holland,loopbaan,zelfonderzoek,perfectionism|direction-clarity,want:self_insight|want:stress_resilience,0.8122,0.6856,0.2952,0.5284,0.3687,0.6363,0.4645,0.65,high,Ik voel me vast zitten in mijn huidige loopbaan en weet niet meer wat ik écht wil – het perfectionism houdt me tegen en ik moet dringend een nieuw perspectief vinden.
K00054,2023-09-09,45-54,F,zorg,large,employee,nl,Zuid-Holland,zelfonderzoek,persoonlijk leiderschap,emotion-awareness|imposter-feelings|ownership-taking,want:self_insight|want:confidence,0.241,0.4778,0.8077,0.8853,0.1603,0.5931,0.501,0.5638,low,Ik twijfel voortdurend aan mijn capaciteiten en vind het moeilijk om echt eigenaarschap te nemen – ik wil mijn gevoelens beter begrijpen en dat impostersyndroom loslaten.
K00055,2023-04-12,45-54,F,transport_logistics,medium,employee,nl,Noord-Brabant,loopbaan,assertiviteit,direction-clarity|values-mapping,want:career_dev|want:self_insight,0.5413,0.5642,0.1698,0.3927,0.332,0.2915,0.3381,0.4448,low,Ik ben op zoek naar duidelijkheid over mijn volgende stap in mijn loopbaan en wil mijn waarden beter in kaart brengen zodat ik een bewuste keuze kan maken.
K00056,2023-03-02,45-54,F,professional_services,large,employee,nl|en,Noord-Holland,communicatie,,difficult-conversations|feedback-skills,want:communication|style:structured,0.7337,0.5229,0.5797,0.7542,0.4416,0.0218,0.3561,0.191,high,"Moeilijke gesprekken in mijn team lopen uit op misverstanden en spanning – ik moet urgent leren hoe ik helder en effectief kan communiceren, vooral feedback geven."
K00057,2023-04-15,45-54,F,professional_services,large,employee,nl,Zuid-Holland,persoonlijk leiderschap,leiderschap,decision-making|energy-management,style:supportive|want:leadership_dev,0.1913,0.5416,0.705,0.5746,0.1738,0.6759,0.7154,0.3049,low,Ik wil beter leren beslissingen te nemen die me energiën geven in plaats van uitputten – voor mijn volgende fase in leiderschap wil ik daar meer bewustzijn in hebben.
K00058,2023-10-01,35-44,F,insurance_finance,large,employee,nl,Groningen,loopbaan,leiderschap,transition-planning|difficult-conversations|career-switch,style:same-sector|want:career_dev,0.5401,0.6747,0.5777,0.4931,0.8557,0.3474,0.6525,0.3997,med,Ik overwegen een loopbaanswitch en merk dat ik moeite heb met de gesprekken die daarbij horen – ik wil begeleiding bij deze transitie en hoe ik moeilijke conversaties voer.
K00059,2023-11-01,55-64,F,transport_logistics,medium,employee,nl,Friesland,stress,leiderschap,decision-making|perfectionism,style:experienced|want:self_insight|want:leadership_dev,0.2895,0.6211,0.7547,0.7236,0.4633,0.6144,0.4296,0.6133,med,Ik voel me onder druk staan door hoge verwachtingen in mijn rol en merk dat perfectionism me blokkeert – ik wil leren beter besluiten te nemen zonder mezelf kapot te werken.
K00060,2023-02-20,25-34,M,public,small,manager,nl,Noord-Brabant,loopbaan,emotieregulatie,calming-techniques|career-switch|emotion-awareness|identity-clarity,style:directive|want:stress_resilience,0.6053,0.5777,0.3879,0.3411,0.2546,0.5083,0.8844,0.8553,high,Een loopbaanverandering staat voor de deur maar ik voel me emotioneel instabiel en weet niet wie ik buiten mijn huidige rol ben – ik moet urgent helderheid en rust vinden.
K00061,2023-08-08,35-44,M,insurance_finance,medium,employee,nl,Zuid-Holland,persoonlijk leiderschap,leiderschap,difficult-conversations|self-direction|value-alignment|first-time-manager,want:self_insight|style:experienced,0.4311,0.8493,0.4874,0.3099,0.5877,0.3104,0.812,0.3848,med,Ik word mijn eerste manager en merk dat ik moeite heb met lastige gesprekken en niet goed weet hoe ik mijn waarden kan uitdragen – ik wil hier direct aan werken.
K00062,2023-08-07,35-44,F,transport_logistics,large,employee,nl,Noord-Holland,persoonlijk leiderschap,,value-alignment|self-direction|decision-making|energy-management,want:leadership_dev|want:self_insight,0.1291,0.7912,0.5071,0.6777,0.2284,0.3226,0.4401,0.4727,med,Ik voel me verdeeld over wat ik echt wil in mijn werk en loop vast in besluiten nemen – ik wil helderheid over mijn waarden en hoe ik beter voor mezelf kan zorgen.
K00063,2023-07-15,45-54,F,zorg,large,employee,nl,Noord-Holland,balans werk/prive,loopbaan,identity-clarity|direction-clarity,style:directive|want:career_dev,0.4274,0.4882,0.5467,0.3831,0.6728,0.3878,0.6617,0.7451,low,"Ik ben aan het nadenken over mijn volgende stap professioneel, maar weet niet goed wat mijn echte plek is – ik wil mijn identiteit voorbij mijn huidige rol ontdekken."
K00064,2023-08-14,45-54,F,tech,large,employee,nl,Noord-Holland,zelfonderzoek,stress,identity-clarity|pattern-awareness|emotion-awareness|value-alignment,style:directive,0.5137,0.1627,0.0995,0.2053,0.6765,0.5517,0.372,0.1179,low,"Ik voel stress en verwarring in wie ik ben, en herken dezelfde patronen terug – ik wil beter begrijpen wat me drijft en wat me echt waardevol vindt."
