trajectory_id,client_id,coach_id,start_date,n_sessions,completed,dropout_reason,satisfaction_1_10,goal_achievement_1_10,evaluation_completed,rematch_requested,evaluation_comment
T00055,K00302,C0088,2023-02-12,6,True,,4.0,6.0,True,True,Matige tevredenheid en beperkte doelrealisatie; dit traject heeft niet optimaal opgeleverd en vraagt om reflectie op aanpak en afstemming.
T00056,K00606,C0007,2023-02-12,6,True,,6.0,9.0,True,False,Sterke doelrealisatie ondanks matige tevredenheid; coachee heeft veel bereikt maar voelde zich niet volledig ondersteund in het proces.
T00057,K00474,C0116,2023-02-14,11,True,,6.0,8.0,True,False,"Goed traject met solide doelrealisatie; tevredenheid kon iets hoger zijn, maar de afgesproken doelen zijn grotendeels behaald."
T00058,K00178,C0076,2023-02-14,6,False,no-longer-wanted,,,False,True,
T00059,K00202,C0107,2023-02-15,7,True,,4.0,7.0,True,True,Opmerkelijk verschil tussen lage tevredenheid en redelijke doelrealisatie; coachee bereikt veel maar ervaart het traject als moeizaam.
T00060,K00231,C0025,2023-02-17,11,True,,6.0,8.0,True,False,Solide voortgang met adequate doelrealisatie en matige tevredenheid; aandachtspunt voor volgende trajecten is de beleving van het proces.
T00061,K00030,C0076,2023-02-18,12,True,,6.0,9.0,True,False,"Uitstekende doelrealisatie met matige tevredenheid; coachee is effectief vooruitgegaan, al had hij/zij meer zekerheid in het traject kunnen voelen."
T00062,K00154,C0114,2023-02-19,2,True,,,,False,True,
T00063,K00390,C0085,2023-02-20,7,True,,6.0,6.0,True,False,"Evenwichtig traject met overeenkomende scores; coachee en coach waren redelijk aligned, hoewel beide dimensies ruimte voor verbetering hebben."
T00064,K00165,C0097,2023-02-21,7,True,,7.0,8.0,True,False,Positief traject met goede doelrealisatie en aangename samenwerking; coachee voelde zich goed ondersteund bij het bereiken van zijn/haar doelen.
T00065,K00011,C0090,2023-02-21,10,True,,8.0,8.0,True,False,Sterk traject met hoge scores op beide dimensies; coachee is tevreden over het proces en heeft zijn/haar doelen effectief gerealiseerd.
T00066,K00123,C0076,2023-02-21,5,True,,3.0,8.0,True,False,"Paradoxaal beeld: ondanks zeer lage tevredenheid zijn de doelen goed gerealiseerd, wat suggereert dat de beleving niet aansloot bij de resultaten."
T00067,K00362,C0015,2023-02-22,14,True,,7.0,7.0,True,False,Bevredigend traject met gelijke scores; coachee ervaart een prettige samenwerking en maakt goed voortgang naar gestelde doelen.
T00068,K00100,C0094,2023-02-24,6,True,,8.0,9.0,True,False,Excellent traject met hoge tevredenheid en sterke doelrealisatie; coachee is zeer tevreden en heeft zijn/haar ambiteuze doelen grotendeels bereikt.
T00069,K00015,C0101,2023-02-25,12,True,,6.0,8.0,True,False,"Goed uitgevoerd traject met matige tevredenheid en solide doelrealisatie; coachee bereikt veel, hoewel de ervaring van de begeleiding kon beter."
T00070,K00382,C0080,2023-02-25,10,True,,,,False,False,
T00071,K00250,C0025,2023-02-25,6,True,,4.0,6.0,True,False,Gemengd beeld met tegenvallende tevredenheid en matige doelrealisatie; traject heeft minder opgeleverd dan gehoopt en voelde niet optimaal aan.
T00072,K00236,C0106,2023-02-25,2,True,,3.0,3.0,True,False,Teleurstellend traject op beide fronten: zeer lage tevredenheid en minimale doelrealisatie geven aan dat dit traject niet succesvol is geweest.
T00073,K00240,C0073,2023-02-26,10,True,,3.0,8.0,True,True,Groot verschil tussen lage tevredenheid en goede doelrealisatie; ondanks resultaten ervaarde coachee het traject als onprettig en onpassend.
T00074,K00607,C0117,2023-02-27,9,True,,6.0,9.0,True,False,"Sterk traject met uitstekende doelrealisatie; matige tevredenheid relativeert dit succes enigszins, maar de concrete resultaten spreken voor zich."
T00075,K00332,C0036,2023-03-02,13,True,,7.0,6.0,True,False,Voorkeur voor resultaten over beleving: coachee is vrij tevreden maar doelrealisatie is iets achterblijvend op wat bereikt had kunnen worden.
T00076,K00522,C0034,2023-03-02,2,False,no-longer-wanted,7.0,8.0,True,True,Traject voortijdig beëindigd omdat coachee geen behoefte meer aan coaching had; ondanks goed verloop en goede voortgang is het traject afgebroken.
T00077,K00056,C0087,2023-03-02,2,False,disappeared,6.0,8.0,True,False,"Traject onverwacht gestopt omdat coachee niet meer bereikbaar was; geen duidelijkheid over de redenen, wat een gemiste kans voor afronding betekent."
T00078,K00206,C0025,2023-03-04,5,True,,4.0,9.0,True,False,Opmerkelijk traject met zeer lage tevredenheid maar uitstekende doelrealisatie; coachee bereikt veel maar ervaart het als zeer onprettig proces.
T00079,K00646,C0002,2023-03-05,4,True,,5.0,9.0,True,False,"De doelstellingen zijn uitstekend gerealiseerd (9/10), hoewel de tevredenheid matig bleef (5/10); mogelijk waren de werkwijze of communicatie niet volledig afgestemd op uw verwachtingen."
T00080,K00041,C0082,2023-03-05,7,True,,4.0,8.0,True,False,Ondanks goede doelrealisatie (8/10) was uw tevredenheid met het traject beperkt (4/10); dit suggereert dat het proces niet volledig aansloot bij uw behoeften.
T00081,K00632,C0039,2023-03-08,5,False,external-coach,7.0,8.0,True,False,"Het traject is voortijdig beëindigd door wissel van coach, maar tot die tijd waren de doelrealisatie (8/10) en tevredenheid (7/10) redelijk positief."
T00082,K00173,C0084,2023-03-08,5,True,,6.0,8.0,True,False,Solide voortgang met goed gerealiseerde doelen (8/10) en acceptabele tevredenheid (6/10); het traject heeft waardevol resultaat opgeleverd.
T00083,K00047,C0114,2023-03-08,9,True,,5.0,9.0,True,True,"Uitstekende doelrealisatie (9/10) bereikt, hoewel uw tevredenheid met het traject gemiddeld was (5/10); de resultaten spreken echter voor zich."
T00084,K00506,C0017,2023-03-09,2,False,external-coach,,,False,False,
T00085,K00456,C0095,2023-03-09,9,True,,6.0,9.0,True,False,Sterk afgerond traject met zeer goed gerealiseerde doelen (9/10) en bevredigende tevredenheid (6/10); een geslaagd resultaat.
T00086,K00183,C0108,2023-03-10,8,True,,7.0,7.0,True,False,Evenwichtig traject met gelijke scores voor doelrealisatie en tevredenheid (beide 7/10); beide partijen hebben hun doel bereikt.
T00087,K00176,C0013,2023-03-10,11,True,,6.0,8.0,True,False,Goed afgerond traject met sterke doelrealisatie (8/10) en redelijke tevredenheid (6/10); het traject heeft solide resultaten opgeleverd.
T00088,K00463,C0081,2023-03-10,4,True,,8.0,8.0,True,False,Uitstekend traject waarin zowel doelrealisatie als tevredenheid hoog lagen (beide 8/10); een zeer geslaagde samenwerking.
T00089,K00598,C0097,2023-03-10,8,True,,5.0,9.0,True,False,"Indrukwekkende doelrealisatie (9/10) bereikt, hoewel uw tevredenheid matig was (5/10); de concrete resultaten zijn echter zeer goed."
T00090,K00511,C0065,2023-03-11,1,False,external-coach,,,False,True,
T00091,K00187,C0031,2023-03-11,8,True,,,,False,True,
T00092,K00042,C0006,2023-03-11,11,True,,7.0,9.0,True,False,Sterk traject met zeer goed gerealiseerde doelen (9/10) en goede tevredenheid (7/10); een waardevol en bevredigend verloop.
T00093,K00569,C0019,2023-03-11,14,True,,9.0,9.0,True,False,Excellent afgerond traject met perfecte scores voor zowel doelrealisatie als tevredenheid (beide 9/10); een voorbeeldige samenwerking.
T00094,K00348,C0114,2023-03-12,7,True,,5.0,8.0,True,False,"Goed gerealiseerde doelen (8/10), al bleef uw tevredenheid matig (5/10); de objectieve resultaten zijn wel degelijk behaald."
T00095,K00134,C0103,2023-03-13,8,True,,6.0,5.0,True,False,Dit traject is achtergebleven in doelrealisatie (5/10) en had slechts matige tevredenheid (6/10); verdere afstemming had waarschijnlijk beter uitgepakt.
T00096,K00070,C0027,2023-03-13,6,True,,,,False,True,
T00097,K00529,C0063,2023-03-13,5,True,,5.0,8.0,True,False,"Doelrealisatie was goed (8/10), maar uw tevredenheid met het proces bleef matig (5/10); de resultaten zijn echter wel behaald."
T00098,K00135,C0034,2023-03-16,11,True,,6.0,9.0,True,False,Sterk traject met zeer goed gerealiseerde doelen (9/10) en bevredigende tevredenheid (6/10); solide resultaten bereikt.
T00099,K00385,C0094,2023-03-17,2,False,no-longer-wanted,,,False,True,
T00100,K00253,C0094,2023-03-17,4,False,external-coach,,,False,True,
T00101,K00399,C0011,2023-03-19,5,True,,5.0,7.0,True,False,Redelijk traject met matige doelrealisatie (7/10) en lage tevredenheid (5/10); verdere afstemming zou het resultaat hebben kunnen verbeteren.
T00102,K00595,C0094,2023-03-19,10,True,,6.0,8.0,True,False,Goed afgerond traject met sterke doelrealisatie (8/10) en acceptabele tevredenheid (6/10); een solide samenwerking.
T00103,K00459,C0067,2023-03-20,7,True,,1.0,3.0,True,True,Dit traject is niet succesvol geweest met zeer lage scores voor doelrealisatie (3/10) en tevredenheid (1/10); fundamentele verbeteringen waren nodig.
T00104,K00298,C0114,2023-03-20,11,True,,6.0,8.0,True,False,Goed afgerond traject met sterke doelrealisatie (8/10) en acceptabele tevredenheid (6/10); een solide samenwerking.
T00105,K00538,C0039,2023-03-20,9,True,,6.0,9.0,True,False,"De doelstellingen zijn uitstekend gerealiseerd, hoewel de tevredenheid wat achterblijft; mogelijk had meer afstemming in het proces geholpen."
T00106,K00433,C0084,2023-03-20,4,True,,5.0,8.0,True,False,Solide doelrealisatie ondanks matige tevredenheid; het traject had baat gehad bij meer betrokkenheid of aanpassingen in aanpak.
T00107,K00344,C0088,2023-03-21,4,True,,,,False,True,
T00108,K00447,C0020,2023-03-22,7,True,,5.0,4.0,True,False,Dit traject voldeed niet aan de verwachtingen met lage doelrealisatie en matige tevredenheid; de afstemming tussen coachee en coach bleef ondermaats.
T00109,K00104,C0042,2023-03-22,13,True,,,,False,True,
T00110,K00204,C0104,2023-03-23,5,False,no-longer-wanted,5.0,7.0,True,True,"Hoewel er redelijke voortgang was geboekt, is het traject voortijdig beëindigd omdat de coachee geen behoefte meer had aan ondersteuning."
T00111,K00203,C0019,2023-03-24,9,True,,6.0,10.0,True,False,Excellent traject met volledige doelrealisatie en goede tevredenheid; de coachee heeft maximaal van de begeleiding geprofiteerd.
T00112,K00549,C0072,2023-03-24,6,True,,6.0,9.0,True,False,Zeer goed resultaat met uitstekende doelrealisatie en behoorlijke tevredenheid; een effectief en waardevol traject.
T00113,K00241,C0116,2023-03-25,4,False,other,7.0,9.0,True,False,"Goede doelrealisatie en tevredenheid, maar het traject is voortijdig beëindigd om andere redenen; de voortgang was wel positief."
T00114,K00163,C0051,2023-03-25,14,True,,,,False,False,
T00115,K00594,C0103,2023-03-26,3,False,external-coach,5.0,8.0,True,False,"Redelijke doelrealisatie, maar het traject is beëindigd vanwege overstap naar externe begeleiding; de basis was goed gelegd."
T00116,K00106,C0056,2023-03-26,7,True,,,,False,False,
T00117,K00136,C0114,2023-03-27,8,True,,,,False,True,
T00118,K00156,C0106,2023-03-27,8,True,,5.0,7.0,True,True,Solide doelrealisatie ondanks matige tevredenheid; het traject zou baat hebben gehad bij meer interactie of aanpassingen.
T00119,K00410,C0119,2023-04-01,3,False,disappeared,6.0,9.0,True,True,"Goed voortgang en doelrealisatie, maar het traject is gestopt omdat de coachee niet meer bereikbaar was; jammer van de onderbreking."
T00120,K00567,C0120,2023-04-01,8,True,,,,False,True,
T00121,K00599,C0037,2023-04-03,16,True,,5.0,8.0,True,True,"Redelijke doelrealisatie, maar de tevredenheid bleef matig; meer aandacht voor de beleving van de coachee had geholpen."
T00122,K00489,C0119,2023-04-04,7,True,,7.0,8.0,True,False,Goed afgerond traject met sterke doelrealisatie en goede tevredenheid; een effectieve en waarderijke samenwerking.
T00123,K00130,C0100,2023-04-04,3,False,no-longer-wanted,,,False,False,
T00124,K00475,C0071,2023-04-05,6,True,,,,False,False,
T00125,K00209,C0058,2023-04-05,2,False,disappeared,5.0,8.0,True,False,Ondanks redelijke doelrealisatie is het traject voortijdig gestopt omdat de coachee niet meer contact opnam; jammer van deze uitval.
T00126,K00080,C0116,2023-04-06,9,True,,,,False,False,
T00127,K00118,C0052,2023-04-08,11,True,,6.0,7.0,True,False,"Goed afgerond traject met goede doelrealisatie; de tevredenheid was adequaat, hoewel wat meer betrokkenheid geen kwaad had gekund."
T00128,K00572,C0114,2023-04-09,5,True,,6.0,9.0,True,False,Zeer goed traject met uitstekende doelrealisatie en goede tevredenheid; een waardevolle en effectieve samenwerking.
T00129,K00125,C0082,2023-04-09,11,True,,6.0,7.0,True,False,Goed afgerond traject met goede doelrealisatie en tevredenheid; de coachee heeft solide voortgang geboekt.
T00130,K00338,C0117,2023-04-11,7,True,,5.0,8.0,True,False,"Redelijke doelrealisatie met matige tevredenheid; het traject is afgerond, maar had baat gehad bij meer afstemming."
T00131,K00139,C0075,2023-04-12,11,True,,7.0,6.0,True,False,"Tevreden coachee met goede doelrealisatie, hoewel de doelen niet volledig zijn bereikt; een acceptabel traject met positieve ervaringen."
T00132,K00573,C0065,2023-04-13,8,True,,6.0,10.0,True,False,Excellent afgerond traject met volledige doelrealisatie en goede tevredenheid; een uitzonderlijk succesvolle begeleiding.
T00133,K00043,C0058,2023-04-13,3,False,disappeared,,,False,False,
T00134,K00294,C0058,2023-04-14,6,True,,5.0,7.0,True,True,"Redelijke doelrealisatie met matige tevredenheid; het traject is afgerond, maar meer betrokkenheid had de ervaring kunnen verbeteren."
T00135,K00469,C0093,2023-04-15,11,True,,7.0,6.0,True,True,"Goed traject met solide doelrealisatie, hoewel de tevredenheid wat onder verwachting bleef. De coachee heeft zich redelijk ingespannen en relevante voortgang geboekt."
T00136,K00057,C0007,2023-04-15,4,False,no-longer-wanted,6.0,10.0,True,False,"Uitstekende doelrealisatie bereikt, maar het traject werd voortijdig beëindigd omdat de coachee niet langer gemotiveerd was om verder te gaan."
T00137,K00381,C0076,2023-04-17,13,True,,5.0,8.0,True,True,"De doelen zijn goed gerealiseerd, maar de tevredenheid was matig; mogelijk was de aanpak niet volledig afgestemd op de verwachtingen."
T00138,K00451,C0084,2023-04-17,2,False,disappeared,7.0,9.0,True,False,"Sterke doelrealisatie en redelijke tevredenheid, helaas is het traject voortijdig gestopt doordat de coachee niet meer bereikbaar was."
T00139,K00036,C0101,2023-04-21,10,True,,7.0,9.0,True,False,Zeer geslaagd traject met hoge tevredenheid en uitstekende doelrealisatie; de coachee heeft zich volledig ingezet en resultaten geboekt.
T00140,K00071,C0066,2023-04-22,8,True,,5.0,5.0,True,False,Het traject liet een gemengd beeld zien met beperkte tevredenheid en matige doelrealisatie; meer focus op afstemming zou voordelig zijn geweest.
T00141,K00386,C0085,2023-04-23,15,True,,6.0,9.0,True,False,"Sterke doelrealisatie bereikt ondanks matige tevredenheid; de coachee heeft goed aan de doelen gewerkt, al was het proces minder aangenaam ervaren."
T00142,K00346,C0077,2023-04-23,4,True,,4.0,8.0,True,True,Opvallend dat ondanks lage tevredenheid de doelen goed zijn gerealiseerd; mogelijk was het traject intensief maar effectief.
T00143,K00527,C0030,2023-04-24,5,True,,6.0,7.0,True,False,Redelijk traject met matige tevredenheid en voldoende doelrealisatie; beide kunnen nog beter met meer aandacht voor het proces.
T00144,K00272,C0094,2023-04-25,4,True,,2.0,7.0,True,True,Lage tevredenheid is zorgwekkend ondanks de redelijke doelrealisatie; er was duidelijk een mismatch tussen proces en verwachtingen.
T00145,K00621,C0017,2023-04-25,4,False,disappeared,6.0,6.0,True,False,Matige resultaten aan beide kanten; het traject werd voortijdig beëindigd omdat de coachee niet meer bereikbaar was.
T00146,K00132,C0114,2023-04-26,9,True,,5.0,8.0,True,False,Goed resultaat met sterke doelrealisatie ondanks matige tevredenheid; de coachee heeft de kernuitkomsten behaald.
T00147,K00222,C0054,2023-04-26,6,True,,6.0,8.0,True,False,Positief traject met goede doelrealisatie en redelijke tevredenheid; solide voortgang en betrokkenheid van de coachee.
T00148,K00117,C0008,2023-05-01,3,False,disappeared,5.0,8.0,True,False,"Goedeaanzet met sterke doelrealisatie, maar het traject liep voort op door het verdwijnen van de coachee."
T00149,K00283,C0084,2023-05-01,8,True,,4.0,6.0,True,True,Het traject liet beperkte resultaten zien aan beide kanten; meer structuur en motivatie hadden het verschil kunnen maken.
T00150,K00411,C0031,2023-05-03,7,True,,7.0,9.0,True,True,Uitstekend traject met hoge tevredenheid en sterke doelrealisatie; de coachee heeft zich volledig ingezet met duidelijke resultaten.
T00151,K00359,C0063,2023-05-04,13,True,,6.0,5.0,True,False,"Redelijke tevredenheid, maar doelrealisatie viel tegen; de coachee was minder voortvarend dan gewenst."
T00152,K00273,C0052,2023-05-04,7,True,,5.0,7.0,True,True,"Acceptabel traject met voldoende doelrealisatie, hoewel de tevredenheid matig bleef; meer betrokkenheid kon beter zijn geweest."
T00153,K00069,C0019,2023-05-08,9,True,,4.0,8.0,True,False,Ondanks lage tevredenheid zijn de doelen goed gerealiseerd; het traject was effectief maar niet altijd aangenaam ervaren.
T00154,K00466,C0101,2023-05-08,4,True,,,,False,False,
T00155,K00365,C0018,2023-05-08,8,True,,7.0,8.0,True,True,Succesvol afgerond traject met hoge tevredenheid en sterke doelrealisatie; duidelijke voortgang en goed samenwerkingsproces.
T00156,K00021,C0089,2023-05-08,8,True,,7.0,6.0,True,False,"Traject succesvol afgerond met redelijke doelrealisatie; tevredenheid kon iets hoger zijn, maar de basis is solide gelegd."
T00157,K00265,C0112,2023-05-08,4,False,disappeared,3.0,6.0,True,True,Traject voortijdig beëindigd doordat deelnemer uit beeld verdween; ondanks redelijke doelrealisatie blijft het contact ontbreken voor vervolgstappen.
T00158,K00207,C0024,2023-05-09,7,True,,8.0,5.0,True,False,"Afgerond met goede tevredenheid, hoewel de doelrealisatie achterblijft bij de verwachtingen; mogelijk meer focus op implementatie nodig geweest."
T00159,K00402,C0084,2023-05-10,8,True,,5.0,8.0,True,False,Goed afgerond met sterke doelrealisatie ondanks gemiddelde tevredenheid; de inhoudelijke voortgang weegt op tegen enkele procesmatige twijfels.
T00160,K00019,C0072,2023-05-12,13,True,,5.0,7.0,True,True,"Traject afgerond met solide doelrealisatie, hoewel de persoonlijke tevredenheid wat achterblijft; aanpassing van aanpak had positief effect kunnen hebben."
T00161,K00193,C0045,2023-05-13,8,True,,,,False,True,
T00162,K00494,C0094,2023-05-14,6,True,,,,False,True,
